feature,mean_shap
delinq_max,0.32164424647044193
PAY_0,0.19550383366492852
util_2,0.12891563411314966
BILL_AMT1,0.1108472088252355
pay_ratio_min,0.10668746408449913
bill_std,0.09678053360438914
PAY_AMT2,0.09590283679226758
LIMIT_BAL,0.09193769596275479
PAY_AMT1,0.09173327505913369
util_5,0.08932995231336176
bill_trend,0.08300114294581518
delinq_count_pos,0.0793934584063075
pay_ratio_3,0.07824052261042204
pay_ratio_4,0.07122725937217515
util_std,0.06529097418747268
util_1,0.06254905999226244
pay_ratio_1,0.061432191609509586
MARRIAGE,0.055881614753992025
PAY_AMT3,0.05330848852874268
pay_ratio_5,0.052681506436498965
util_x_delinq,0.04856938238055698
PAY_AMT6,0.04493042560107004
util_6,0.04355987563446391
ratio_x_util,0.041995483754075566
util_mean,0.04121956163668879
bill_mean,0.04109391477568913
BILL_AMT2,0.04055325680218536
EDUCATION,0.04006828761901107
pay_ratio_std,0.038575137297238264
BILL_AMT5,0.03749157482057253
SEX,0.036830610205631706
pay_ratio_mean,0.03472478543994816
util_max,0.03469922331185597
pay_ratio_6,0.03459250240074967
util_3,0.03161041918926112
AGE,0.030371391525708412
BILL_AMT3,0.030186607540320893
PAY_AMT4,0.029505642797724153
delinq_mean,0.02616797626112674
util_trend,0.02521373940282927
pay_ratio_2,0.025173686381666806
delinq_std,0.024478522868120016
pay_ratio_trend,0.02381448037313161
PAY_AMT5,0.022698828970176076
util_4,0.01974547485659483
BILL_AMT4,0.017964221011767107
BILL_AMT6,0.017489118929559733
delinq_streak,0.015581684561441248
PAY_4,0.010956204243660807
PAY_6,0.009297988659604515
PAY_3,0.008373315995494483
PAY_2,0.008340589533735418
util_last,0.006876086304092604
bill_last,0.005146870114601271
PAY_5,0.0019096228282040816
